ns	from	to	predicate	reverse
onet	4.A.3.b.1	2.A.1.a	requires	requiredBy
onet	4.A.3.b.1	2.A.2.a	requires	requiredBy
onet	4.A.3.b.1	2.B.2.i	requires	requiredBy
onet	4.A.3.b.1	2.B.3.e	requires	requiredBy
onet	4.A.3.b.1	2.B.4.g	requires	requiredBy
onet	4.A.3.b.2	1.A.1.a.3	requires	requiredBy
onet	4.A.3.b.2	1.A.1.a.4	requires	requiredBy
onet	4.A.3.b.2	1.A.1.b.4	requires	requiredBy
onet	4.A.3.b.2	1.A.1.b.6	requires	requiredBy
onet	4.A.3.b.2	1.A.1.f.2	requires	requiredBy
onet	4.A.3.b.2	1.A.4.a.1	requires	requiredBy
onet	4.A.3.b.2	2.A.1.a	requires	requiredBy
onet	4.A.3.b.2	2.A.1.c	requires	requiredBy
onet	4.A.3.b.2	2.B.1.e	requires	requiredBy
onet	4.A.3.b.4	1.A.1.b.3	requires	requiredBy
onet	4.A.3.b.4	1.A.1.b.4	requires	requiredBy
onet	4.A.3.b.4	1.A.1.b.5	requires	requiredBy
onet	4.A.3.b.4	1.A.1.b.6	requires	requiredBy
onet	4.A.3.b.4	1.A.1.d.1	requires	requiredBy
onet	4.A.3.b.4	1.A.1.e.3	requires	requiredBy
onet	4.A.3.b.4	1.A.1.f.2	requires	requiredBy
onet	4.A.3.b.4	1.A.2.a.1	requires	requiredBy
onet	4.A.3.b.4	1.A.2.a.2	requires	requiredBy
onet	4.A.3.b.4	1.A.2.a.3	requires	requiredBy
onet	4.A.3.b.4	1.A.2.b.1	requires	requiredBy
onet	4.A.3.b.4	1.A.3.c.1	requires	requiredBy
onet	4.A.3.b.4	1.A.4.a.1	requires	requiredBy
onet	4.A.3.b.4	2.A.2.a	requires	requiredBy
onet	4.A.3.b.4	2.B.2.i	requires	requiredBy
onet	4.A.3.b.4	2.B.3.c	requires	requiredBy
onet	4.A.3.b.4	2.B.3.g	requires	requiredBy
onet	4.A.3.b.4	2.B.3.j	requires	requiredBy
onet	4.A.3.b.4	2.B.3.k	requires	requiredBy
onet	4.A.3.b.4	2.B.3.l	requires	requiredBy
onet	4.A.3.b.4	2.B.3.m	requires	requiredBy
onet	4.A.3.b.5	1.A.1.b.3	requires	requiredBy
onet	4.A.3.b.5	1.A.1.b.4	requires	requiredBy
onet	4.A.3.b.5	1.A.1.b.5	requires	requiredBy
onet	4.A.3.b.5	1.A.1.b.6	requires	requiredBy
onet	4.A.3.b.5	1.A.1.d.1	requires	requiredBy
onet	4.A.3.b.5	1.A.1.e.3	requires	requiredBy
onet	4.A.3.b.5	1.A.1.f.2	requires	requiredBy
onet	4.A.3.b.5	1.A.2.a.1	requires	requiredBy
onet	4.A.3.b.5	1.A.2.a.2	requires	requiredBy
onet	4.A.3.b.5	1.A.2.a.3	requires	requiredBy
onet	4.A.3.b.5	1.A.2.b.1	requires	requiredBy
onet	4.A.3.b.5	1.A.3.c.1	requires	requiredBy
onet	4.A.3.b.5	1.A.4.a.1	requires	requiredBy
onet	4.A.3.b.5	1.A.4.a.3	requires	requiredBy
onet	4.A.3.b.5	2.A.2.a	requires	requiredBy
onet	4.A.3.b.5	2.B.2.i	requires	requiredBy
onet	4.A.3.b.5	2.B.3.c	requires	requiredBy
onet	4.A.3.b.5	2.B.3.g	requires	requiredBy
onet	4.A.3.b.5	2.B.3.j	requires	requiredBy
onet	4.A.3.b.5	2.B.3.k	requires	requiredBy
onet	4.A.3.b.5	2.B.3.l	requires	requiredBy
onet	4.A.3.b.5	2.B.3.m	requires	requiredBy
onet	4.A.3.b.6	1.A.1.a.2	requires	requiredBy
onet	4.A.3.b.6	1.A.1.a.4	requires	requiredBy
onet	4.A.3.b.6	1.A.1.b.6	requires	requiredBy
onet	4.A.3.b.6	1.A.1.b.7	requires	requiredBy
onet	4.A.3.b.6	1.A.1.g.1	requires	requiredBy
onet	4.A.3.b.6	1.A.2.c.2	requires	requiredBy
onet	4.A.3.b.6	1.A.4.a.1	requires	requiredBy
onet	4.A.3.b.6	2.A.1.c	requires	requiredBy
onet	4.A.4.a.1	1.A.1.a.1	requires	requiredBy
onet	4.A.4.a.1	1.A.1.a.2	requires	requiredBy
onet	4.A.4.a.1	1.A.1.a.3	requires	requiredBy
onet	4.A.4.a.1	1.A.1.a.4	requires	requiredBy
onet	4.A.4.a.1	1.A.1.b.4	requires	requiredBy
onet	4.A.4.a.1	1.A.1.b.5	requires	requiredBy
onet	4.A.4.a.1	1.A.1.b.6	requires	requiredBy
onet	4.A.4.a.1	1.A.1.b.7	requires	requiredBy
onet	4.A.4.a.1	1.A.4.b.4	requires	requiredBy
onet	4.A.4.a.1	1.A.4.b.5	requires	requiredBy
onet	4.A.4.a.1	2.A.1.a	requires	requiredBy
onet	4.A.4.a.1	2.A.1.b	requires	requiredBy
onet	4.A.4.a.1	2.A.1.c	requires	requiredBy
onet	4.A.4.a.1	2.A.1.d	requires	requiredBy
onet	4.A.4.a.1	2.A.2.a	requires	requiredBy
onet	4.A.4.a.1	2.B.1.a	requires	requiredBy
onet	4.A.4.a.1	2.B.1.e	requires	requiredBy
onet	4.A.4.a.2	1.A.1.a.1	requires	requiredBy
onet	4.A.4.a.2	1.A.1.a.2	requires	requiredBy
onet	4.A.4.a.2	1.A.1.a.3	requires	requiredBy
onet	4.A.4.a.2	1.A.1.a.4	requires	requiredBy
onet	4.A.4.a.2	1.A.1.b.6	requires	requiredBy
onet	4.A.4.a.2	1.A.4.b.4	requires	requiredBy
onet	4.A.4.a.2	1.A.4.b.5	requires	requiredBy
onet	4.A.4.a.2	2.A.1.b	requires	requiredBy
onet	4.A.4.a.2	2.A.1.c	requires	requiredBy
onet	4.A.4.a.2	2.A.1.d	requires	requiredBy
onet	4.A.4.a.3	1.A.1.a.1	requires	requiredBy
onet	4.A.4.a.3	1.A.1.a.2	requires	requiredBy
onet	4.A.4.a.3	1.A.1.a.3	requires	requiredBy
onet	4.A.4.a.3	1.A.1.a.4	requires	requiredBy
onet	4.A.4.a.3	1.A.1.b.6	requires	requiredBy
onet	4.A.4.a.3	1.A.4.b.4	requires	requiredBy
onet	4.A.4.a.3	1.A.4.b.5	requires	requiredBy
onet	4.A.4.a.3	2.A.1.b	requires	requiredBy
onet	4.A.4.a.3	2.A.1.c	requires	requiredBy
onet	4.A.4.a.3	2.A.1.d	requires	requiredBy
onet	4.A.4.a.3	2.B.1.a	requires	requiredBy
onet	4.A.4.a.3	2.B.1.c	requires	requiredBy
onet	4.A.4.a.3	2.B.1.f	requires	requiredBy
onet	4.A.4.a.4	1.A.1.a.1	requires	requiredBy
onet	4.A.4.a.4	1.A.1.a.3	requires	requiredBy
onet	4.A.4.a.4	1.A.1.b.3	requires	requiredBy
onet	4.A.4.a.4	1.A.4.b.4	requires	requiredBy
onet	4.A.4.a.4	1.A.4.b.5	requires	requiredBy
onet	4.A.4.a.4	2.A.1.b	requires	requiredBy
onet	4.A.4.a.4	2.A.1.d	requires	requiredBy
onet	4.A.4.a.4	2.B.1.a	requires	requiredBy
onet	4.A.4.a.4	2.B.1.b	requires	requiredBy
onet	4.A.4.a.4	2.B.1.c	requires	requiredBy
onet	4.A.4.a.4	2.B.1.f	requires	requiredBy
onet	4.A.4.a.5	1.A.1.a.1	requires	requiredBy
onet	4.A.4.a.5	1.A.1.a.3	requires	requiredBy
onet	4.A.4.a.5	1.A.1.b.3	requires	requiredBy
onet	4.A.4.a.5	1.A.1.b.4	requires	requiredBy
onet	4.A.4.a.5	1.A.1.b.5	requires	requiredBy
onet	4.A.4.a.5	1.A.4.b.4	requires	requiredBy
onet	4.A.4.a.5	1.A.4.b.5	requires	requiredBy
onet	4.A.4.a.5	2.A.1.b	requires	requiredBy
onet	4.A.4.a.5	2.A.1.d	requires	requiredBy
onet	4.A.4.a.5	2.A.2.d	requires	requiredBy
onet	4.A.4.a.5	2.B.1.a	requires	requiredBy
onet	4.A.4.a.5	2.B.1.b	requires	requiredBy
onet	4.A.4.a.5	2.B.1.f	requires	requiredBy
onet	4.A.4.a.6	1.A.1.a.1	requires	requiredBy
onet	4.A.4.a.6	1.A.1.a.3	requires	requiredBy
onet	4.A.4.a.6	1.A.1.a.4	requires	requiredBy
onet	4.A.4.a.6	1.A.1.b.1	requires	requiredBy
onet	4.A.4.a.6	1.A.1.b.2	requires	requiredBy
onet	4.A.4.a.6	1.A.1.b.3	requires	requiredBy
onet	4.A.4.a.6	1.A.1.b.4	requires	requiredBy
onet	4.A.4.a.6	1.A.1.b.5	requires	requiredBy
onet	4.A.4.a.6	1.A.1.e.1	requires	requiredBy
onet	4.A.4.a.6	1.A.4.b.4	requires	requiredBy
onet	4.A.4.a.6	1.A.4.b.5	requires	requiredBy
onet	4.A.4.a.6	2.A.1.b	requires	requiredBy
onet	4.A.4.a.6	2.A.1.d	requires	requiredBy
onet	4.A.4.a.6	2.A.2.d	requires	requiredBy
onet	4.A.4.a.6	2.B.1.a	requires	requiredBy
onet	4.A.4.a.6	2.B.1.b	requires	requiredBy
onet	4.A.4.a.6	2.B.1.c	requires	requiredBy
onet	4.A.4.a.6	2.B.1.f	requires	requiredBy
onet	4.A.4.a.7	1.A.1.a.1	requires	requiredBy
onet	4.A.4.a.7	1.A.1.a.2	requires	requiredBy
onet	4.A.4.a.7	1.A.1.a.3	requires	requiredBy
onet	4.A.4.a.7	1.A.1.a.4	requires	requiredBy
onet	4.A.4.a.7	1.A.1.b.1	requires	requiredBy
onet	4.A.4.a.7	1.A.1.b.2	requires	requiredBy
onet	4.A.4.a.7	1.A.1.b.3	requires	requiredBy
onet	4.A.4.a.7	1.A.1.b.4	requires	requiredBy
onet	4.A.4.a.7	1.A.1.b.5	requires	requiredBy
onet	4.A.4.a.7	1.A.1.b.6	requires	requiredBy
onet	4.A.4.a.7	1.A.1.b.7	requires	requiredBy
onet	4.A.4.a.7	1.A.1.e.1	requires	requiredBy
